model,strategy,outcome,cohort,fold,n_train,n_test,auc_roc,f1_weighted,sensitivity,specificity
ANN,Age-inclusive pooled,Multiclass,All,4,6549,1637,0.7071325850835367,0.6037136631959167,0.6059865607819181,0.6727252938954076
ANN,Age-inclusive pooled,Multiclass,All,5,6549,1637,0.6665735556983876,0.5782444898578538,0.5833842394624312,0.6327459366280097
Random Forest,Age-stratified,Multiclass,Children,1,737,184,0.8048488965434509,0.7945003142677561,0.8594594594594595,0.14054054054054055
Random Forest,Age-stratified,Multiclass,Children,2,737,184,0.8439632192808678,0.7934146961606916,0.8586956521739131,0.14130434782608695
Random Forest,Age-stratified,Multiclass,Children,3,737,184,0.8657629141140785,0.7934146961606916,0.8586956521739131,0.14130434782608695
Random Forest,Age-stratified,Multiclass,Children,4,737,184,0.7694931577671125,0.7934146961606916,0.8586956521739131,0.14130434782608695
Random Forest,Age-stratified,Multiclass,Children,5,737,184,0.8359287284564602,0.7934146961606916,0.8586956521739131,0.14130434782608695
ANN,Age-stratified,Multiclass,Children,1,737,184,0.7661827292645669,0.8274650034650034,0.8432432432432433,0.49850318596896026
ANN,Age-stratified,Multiclass,Children,2,737,184,0.763151882243136,0.7827526567051462,0.7717391304347826,0.460687471690862
ANN,Age-stratified,Multiclass,Children,3,737,184,0.8053255779639382,0.800809061488673,0.7880434782608695,0.5922785253169479
ANN,Age-stratified,Multiclass,Children,4,737,184,0.7115802675585283,0.7858124861905581,0.7989130434782609,0.33254018181901374
ANN,Age-stratified,Multiclass,Children,5,737,184,0.6975333018406085,0.7915267355056137,0.7934782608695652,0.39704578416884373
Random Forest,Age-stratified,Multiclass,Youth,1,1628,406,0.726609237133368,0.6786900064908363,0.7764127764127764,0.22358722358722358
Random Forest,Age-stratified,Multiclass,Youth,2,1628,406,0.6794849877751432,0.6786900064908363,0.7764127764127764,0.22358722358722358
Random Forest,Age-stratified,Multiclass,Youth,3,1628,406,0.7072623870067022,0.6831095719003928,0.7764127764127764,0.2316088755257895
Random Forest,Age-stratified,Multiclass,Youth,4,1628,406,0.7245526269306962,0.6741251401445576,0.7714987714987716,0.22552503802503804
Random Forest,Age-stratified,Multiclass,Youth,5,1628,406,0.7309396832641906,0.6767241379310345,0.7733990147783252,0.2236247947454844
ANN,Age-stratified,Multiclass,Youth,1,1628,406,0.7010577995033953,0.7044392417011456,0.6977886977886978,0.551322218047822
ANN,Age-stratified,Multiclass,Youth,2,1628,406,0.684761604243162,0.7133680241926382,0.7076167076167076,0.5663934644961998
ANN,Age-stratified,Multiclass,Youth,3,1628,406,0.6654078058884256,0.7069080443360625,0.7223587223587223,0.4506375668796295
ANN,Age-stratified,Multiclass,Youth,4,1628,406,0.7014366834850051,0.6884432680441549,0.6781326781326781,0.5536923789908696
ANN,Age-stratified,Multiclass,Youth,5,1628,406,0.7184670727466295,0.7002553979241776,0.6921182266009852,0.5427926958099372
Random Forest,Age-stratified,Multiclass,Adults,1,3154,788,0.6528346875093569,0.39926105978209353,0.550063371356147,0.4620822938621439
Random Forest,Age-stratified,Multiclass,Adults,2,3154,788,0.6000925628201416,0.40206519863131257,0.5475285171102662,0.4627963328793883
Random Forest,Age-stratified,Multiclass,Adults,3,3154,788,0.6403453144063348,0.38619105965508904,0.5456852791878173,0.4524594332426095
Random Forest,Age-stratified,Multiclass,Adults,4,3154,788,0.6097804973595138,0.39276580175891296,0.5444162436548223,0.456626395623111
Random Forest,Age-stratified,Multiclass,Adults,5,3154,788,0.6313533132128774,0.3933404189077444,0.549492385786802,0.4589576608985388
ANN,Age-stratified,Multiclass,Adults,1,3154,788,0.6179673544766173,0.49335906414799857,0.4892268694550063,0.6608732388688943
ANN,Age-stratified,Multiclass,Adults,2,3154,788,0.581496259338349,0.47329650117989797,0.47275031685678076,0.6265723544836362
ANN,Age-stratified,Multiclass,Adults,3,3154,788,0.6157532233013187,0.4930391736996133,0.4949238578680203,0.6472366426958416
ANN,Age-stratified,Multiclass,Adults,4,3154,788,0.6041434522594078,0.48087929797136686,0.4746192893401015,0.6580367054747776
ANN,Age-stratified,Multiclass,Adults,5,3154,788,0.6135299968075101,0.4896091786791599,0.4873096446700508,0.6538020119055233
Random Forest,Age-stratified,Multiclass,Seniors,1,1032,257,0.6875085421040394,0.47153959929260886,0.5465116279069767,0.6881286886482334
Random Forest,Age-stratified,Multiclass,Seniors,2,1032,257,0.6956794731385438,0.47351775529464263,0.5426356589147286,0.7021085279546955
Random Forest,Age-stratified,Multiclass,Seniors,3,1032,257,0.715028051713326,0.48127255442608047,0.5581395348837209,0.6932438066324479
Random Forest,Age-stratified,Multiclass,Seniors,4,1032,257,0.6999613694044656,0.46840367946736156,0.5465116279069767,0.6774835420084968
Random Forest,Age-stratified,Multiclass,Seniors,5,1032,257,0.7031912026228577,0.4682376646236886,0.5408560311284046,0.6857946083639913
ANN,Age-stratified,Multiclass,Seniors,1,1032,257,0.657071926183752,0.49490007788579066,0.49224806201550386,0.7385199623695418
ANN,Age-stratified,Multiclass,Seniors,2,1032,257,0.6606042964875319,0.47220959936333157,0.4728682170542636,0.7406883086464747
ANN,Age-stratified,Multiclass,Seniors,3,1032,257,0.6911548005608287,0.5360793496495121,0.5387596899224806,0.7498843036550993
ANN,Age-stratified,Multiclass,Seniors,4,1032,257,0.6761440977274348,0.484959060006546,0.4844961240310077,0.7371636203991353
ANN,Age-stratified,Multiclass,Seniors,5,1032,257,0.6731203238932149,0.472761106393688,0.47470817120622566,0.7295316338620798
